customer_id,age,employment_status,income,loan_amount,loan_tenure,credit_score,credit_utilization,repayment_history,num_defaults,debt_to_income_ratio,risk_label
CUST00032,48,Employed,87457.84,46707.86,120,671.0,0.0375,21.0,0,0.5341,Low
CUST00033,36,Employed,77570.36,137990.41,48,733.0,0.2056,22.0,0,1.7789,Low
CUST00034,35,Unemployed,15657.77,23744.76,60,803.0,0.5517,18.0,1,1.5165,Medium
CUST00035,64,Employed,42134.63,63622.02,24,585.0,0.1344,,0,1.51,Low
CUST00036,23,Retired,47065.76,5430.22,60,685.0,0.1848,19.0,0,0.1154,Low
CUST00037,57,Employed,65935.07,122080.78,60,636.0,,19.0,0,1.8515,Low
CUST00038,27,Retired,23349.83,29420.73,12,676.0,0.2657,20.0,1,1.26,Low
CUST00039,41,Retired,39838.62,117083.55,36,738.0,0.0642,18.0,0,2.9389,Medium
CUST00040,29,Employed,44335.87,26547.45,24,780.0,0.0314,20.0,1,0.5988,Low
CUST00041,59,Employed,61115.58,65427.13,12,719.0,0.0386,19.0,2,1.0705,Medium
CUST00042,38,Employed,45062.85,110586.82,84,675.0,,20.0,1,2.4541,Medium
CUST00043,24,Employed,49037.85,44267.28,120,732.0,0.2148,22.0,0,0.9027,Low
CUST00044,45,Self-Employed,73920.34,50517.98,60,582.0,0.2683,21.0,2,0.6834,Medium
CUST00045,34,Employed,46083.48,101761.76,60,591.0,0.0892,15.0,0,2.2082,Medium
CUST00046,29,Employed,49551.51,32216.64,12,663.0,0.4551,21.0,0,0.6502,Low
CUST00047,46,Employed,92264.65,143008.74,84,743.0,0.3371,22.0,0,1.55,Low
CUST00048,22,Unemployed,15033.98,32374.21,24,626.0,0.0743,20.0,0,2.1534,Medium
CUST00049,40,Employed,80278.87,113749.34,60,634.0,0.4177,17.0,1,1.4169,Medium
CUST00050,48,Employed,64317.54,121376.84,84,491.0,0.3302,20.0,0,1.8871,Medium
CUST00051,27,Employed,85222.1,59283.71,24,841.0,0.1373,20.0,1,0.6956,Low
CUST00052,64,Unemployed,25926.92,27654.68,12,631.0,0.2489,20.0,1,1.0666,Medium
CUST00053,28,Self-Employed,154026.79,29056.01,60,430.0,0.2343,14.0,0,0.1886,Low
CUST00054,55,Employed,51916.72,147890.3,48,663.0,0.4808,,0,2.8486,Medium
CUST00055,34,Employed,56159.26,110184.44,48,687.0,0.2218,19.0,2,1.962,Medium
CUST00056,37,Employed,86162.6,70256.88,60,631.0,0.4104,18.0,0,0.8154,Low
CUST00057,56,Employed,54665.33,42315.72,36,577.0,0.2977,21.0,0,0.7741,Low
CUST00058,60,Retired,49189.16,7741.97,60,721.0,0.2981,20.0,0,0.1574,Low
CUST00059,24,Self-Employed,84320.78,102217.26,60,712.0,0.6341,18.0,0,1.2122,Low
CUST00060,22,Employed,96188.11,143752.87,60,692.0,0.0942,20.0,0,1.4945,Low
CUST00061,26,Unemployed,32369.62,20492.27,12,588.0,0.1046,21.0,0,0.6331,Low
CUST00062,62,Employed,71553.1,114401.23,60,601.0,0.2483,16.0,1,1.5988,Medium
CUST00063,24,Self-Employed,65215.68,27219.35,60,,0.0666,21.0,1,0.4174,Low
CUST00064,49,Unemployed,14731.05,119855.25,12,616.0,0.1847,22.0,0,5.0,High
CUST00065,38,Employed,75735.98,58733.06,60,700.0,0.5752,18.0,0,0.7755,Low
CUST00066,46,Self-Employed,38652.37,108248.93,48,618.0,,21.0,0,2.8006,Medium
CUST00067,64,Employed,70360.64,139310.95,48,574.0,0.4932,20.0,0,1.98,Medium
CUST00068,54,Employed,31348.26,94920.18,120,683.0,0.1856,22.0,0,3.0279,Medium
CUST00069,30,Employed,53918.64,138501.36,84,840.0,0.1434,22.0,0,2.5687,Low
CUST00070,56,Employed,64771.32,39078.53,120,587.0,0.3205,19.0,3,0.6033,Medium
CUST00071,34,Self-Employed,88534.58,146829.4,120,593.0,0.3453,20.0,4,1.6584,High
CUST00072,51,Retired,41764.09,131562.97,60,640.0,0.3318,19.0,0,3.1501,Medium
CUST00073,35,Self-Employed,95028.2,20598.13,12,710.0,0.1956,15.0,0,0.2168,Low
CUST00074,28,Unemployed,28787.04,64963.26,60,695.0,0.0993,20.0,0,2.2567,Low
CUST00075,34,Unemployed,12130.13,139419.28,60,640.0,0.3143,19.0,3,5.0,High
CUST00076,43,Employed,49929.66,16326.73,84,615.0,0.3159,,0,0.327,Low
CUST00077,60,Employed,86939.57,70795.6,24,817.0,0.4491,17.0,0,0.8143,Low
CUST00078,41,Employed,54538.97,109921.1,120,741.0,0.3892,18.0,1,2.0155,Medium
CUST00079,36,Self-Employed,44747.88,9849.86,84,788.0,0.092,19.0,1,0.2201,Low
CUST00080,38,Retired,41744.43,114160.48,36,706.0,0.1921,21.0,0,2.7347,Medium
CUST00081,44,Employed,32674.31,57374.37,12,642.0,0.2476,20.0,2,1.7559,Medium
CUST00082,46,Self-Employed,69278.1,41158.91,120,681.0,0.4231,20.0,1,0.5941,Low
CUST00083,45,Self-Employed,65927.65,88515.98,36,794.0,0.2484,14.0,0,1.3426,Low
CUST00084,61,Employed,,83928.03,24,691.0,0.1153,19.0,0,1.3185,Low
CUST00085,49,Employed,70129.24,131721.2,36,512.0,0.3988,20.0,4,1.8783,High
CUST00086,35,Employed,63250.52,103020.43,60,762.0,0.1956,21.0,1,1.6288,Low
CUST00087,21,Employed,111585.06,66170.33,48,769.0,,21.0,0,0.593,Low
CUST00088,45,Employed,68368.19,99270.07,12,748.0,0.4046,18.0,0,1.452,Low
CUST00089,27,Employed,37470.74,113771.47,12,542.0,0.293,19.0,0,3.0363,Medium
CUST00090,29,Employed,42601.7,140912.64,60,680.0,0.1742,20.0,1,3.3077,Medium
CUST00091,44,Employed,65006.09,107117.93,84,732.0,0.3841,20.0,0,1.6478,Low
CUST00092,21,Unemployed,16560.92,83861.49,120,651.0,0.1162,21.0,0,5.0,High
CUST00093,64,Employed,40430.4,59082.11,120,680.0,0.518,22.0,0,1.4613,Low
CUST00094,28,Self-Employed,125911.64,134265.13,120,694.0,0.3686,15.0,5,1.0663,High
CUST00095,44,Employed,64115.52,119915.35,36,583.0,0.6079,18.0,2,1.8703,Medium
CUST00096,31,Employed,96913.87,16191.28,12,687.0,0.2427,16.0,0,0.1671,Low
CUST00097,37,Retired,39937.5,106433.47,84,571.0,0.2312,20.0,0,2.665,Medium
CUST00098,28,Employed,56645.44,83118.69,120,641.0,0.3184,17.0,0,1.4674,Low
CUST00099,55,Employed,96852.33,20028.37,120,603.0,0.5336,21.0,0,0.2068,Low
CUST00100,55,Self-Employed,109094.86,86919.33,24,720.0,0.3256,19.0,1,0.7967,Low
CUST00101,53,Employed,46560.91,32913.36,120,703.0,0.3191,21.0,1,0.7069,Low
CUST00102,25,Employed,50705.36,107681.01,24,695.0,0.1665,18.0,0,2.1237,Low
CUST00103,62,Employed,40716.82,45376.89,36,672.0,0.3021,19.0,1,1.1145,Low
CUST00104,59,Employed,66545.45,26799.87,24,684.0,0.3511,19.0,2,0.4027,Low
CUST00105,61,Employed,85623.2,16886.07,120,810.0,0.4298,17.0,0,0.1972,Low
CUST00106,48,Employed,97618.03,76165.92,48,755.0,0.3495,18.0,1,0.7802,Low
CUST00107,27,Unemployed,10000.0,33947.04,60,573.0,0.3802,15.0,2,3.3947,High
CUST00108,29,Self-Employed,104170.23,128993.54,120,607.0,0.4362,20.0,0,1.2383,Low
CUST00109,28,Self-Employed,117013.2,5435.16,12,633.0,0.0649,19.0,1,0.0464,Low
CUST00110,32,Self-Employed,72587.3,127327.62,84,630.0,0.3785,19.0,0,1.7541,Low
CUST00111,54,Unemployed,29783.44,80558.4,60,583.0,0.2599,20.0,1,2.7048,Medium
CUST00112,53,Employed,26581.36,138711.1,36,696.0,0.2187,20.0,0,5.0,High
CUST00113,43,Unemployed,34381.21,34668.63,60,645.0,,20.0,2,1.0084,Medium
CUST00114,44,Self-Employed,120177.9,19829.7,12,667.0,0.4901,17.0,0,0.165,Low
CUST00115,57,Self-Employed,38188.91,95618.94,120,513.0,0.2749,19.0,0,2.5038,Medium
CUST00116,55,Employed,73359.69,107475.48,84,524.0,0.3007,19.0,3,1.465,High
CUST00117,64,Employed,28667.29,59024.83,12,,0.1028,21.0,3,2.059,High
CUST00118,60,Employed,38584.12,6983.63,36,698.0,0.1963,21.0,0,0.181,Low
CUST00119,42,Self-Employed,48376.03,64009.56,12,688.0,0.3499,20.0,0,1.3232,Low
CUST00120,47,Employed,67441.18,38899.1,24,730.0,0.1058,19.0,0,0.5768,Low
CUST00121,55,Self-Employed,97920.89,55383.1,84,593.0,0.2872,22.0,0,0.5656,Low
CUST00122,21,Employed,67519.92,78479.4,84,704.0,0.3819,17.0,1,1.1623,Low
CUST00123,55,Employed,78389.53,106839.57,60,772.0,0.381,17.0,0,1.3629,Low
CUST00124,57,Employed,87495.36,144667.67,48,724.0,0.1766,18.0,0,1.6534,Low
CUST00125,34,Employed,42751.3,25879.98,48,546.0,0.5288,20.0,1,0.6054,Low
CUST00126,23,Employed,44503.24,103585.42,48,738.0,0.2431,20.0,1,2.3276,Medium
CUST00127,21,Employed,77166.87,38815.66,36,676.0,0.0628,18.0,3,0.503,Medium
CUST00128,25,Retired,37009.72,37002.18,48,686.0,0.239,20.0,0,0.9998,Low
CUST00129,46,Employed,38120.62,96865.34,84,849.0,0.5094,19.0,3,2.541,High
CUST00130,34,Employed,45253.79,117519.93,120,669.0,0.2334,17.0,1,2.5969,Medium
CUST00131,59,Self-Employed,73538.27,146779.12,84,700.0,0.1214,20.0,0,1.996,Low
CUST00132,47,Unemployed,14389.41,116480.47,60,657.0,0.3286,19.0,1,5.0,High
CUST00133,29,Self-Employed,57817.59,27810.67,12,630.0,0.1474,16.0,1,0.481,Low
CUST00134,35,Employed,37813.52,37683.39,24,679.0,,20.0,0,0.9966,Low
CUST00135,35,Unemployed,20632.36,115401.51,120,615.0,0.5741,18.0,0,5.0,High
CUST00136,46,Self-Employed,36101.74,81413.25,48,661.0,0.5492,18.0,1,2.2551,Medium
CUST00137,62,Employed,41673.65,47834.16,48,625.0,0.0149,16.0,0,1.1478,Low
CUST00138,33,Employed,64780.08,73408.57,120,483.0,0.0139,17.0,0,1.1332,Low
CUST00139,52,Employed,62740.13,137658.76,48,610.0,0.4172,18.0,5,2.1941,High
CUST00140,59,Employed,81033.86,114561.91,24,726.0,0.3469,19.0,0,1.4138,Low
CUST00141,52,Unemployed,16524.63,70351.17,60,691.0,0.5473,21.0,1,4.2574,High
CUST00142,24,Employed,69703.41,147180.32,120,631.0,0.0248,18.0,3,2.1115,High
CUST00143,50,Unemployed,21622.34,120256.82,120,657.0,0.1136,20.0,0,5.0,High
CUST00144,57,Employed,59502.89,5851.28,48,585.0,0.2725,20.0,0,0.0983,Low
CUST00145,43,Employed,74273.56,21293.25,12,594.0,0.1485,18.0,0,0.2867,Low
CUST00146,59,Employed,75960.42,85325.47,36,650.0,0.3568,18.0,0,1.1233,Low
CUST00147,35,Employed,76096.68,55743.36,24,632.0,,20.0,0,0.7325,Low
CUST00148,63,Self-Employed,72677.33,122821.02,60,589.0,0.233,21.0,1,1.6899,Medium
CUST00149,49,Self-Employed,89606.62,134874.62,84,644.0,0.4996,19.0,2,1.5052,Medium
CUST00150,56,Employed,74914.51,39894.37,12,560.0,0.1398,20.0,0,0.5325,Low
CUST00151,33,Employed,102374.9,115676.44,24,775.0,0.2185,21.0,0,1.1299,Low
CUST00152,52,Employed,55657.35,82632.62,84,721.0,0.3491,20.0,1,1.4847,Low
CUST00153,27,Self-Employed,100097.74,61835.22,24,476.0,0.3353,18.0,1,0.6177,Medium
CUST00154,42,Employed,82529.46,119083.11,36,717.0,0.2733,19.0,0,1.4429,Low
CUST00155,48,Employed,59673.53,86913.95,36,,0.1561,20.0,0,1.4565,Low
CUST00156,22,Self-Employed,105816.73,97116.19,84,606.0,0.1514,17.0,1,0.9178,Low
CUST00157,62,Retired,54309.68,14026.84,84,710.0,0.0372,18.0,0,0.2583,Low
CUST00158,26,Employed,81403.3,89952.55,60,,0.0463,19.0,0,1.105,Low
CUST00159,48,Employed,73052.69,48603.13,48,619.0,0.1429,20.0,0,0.6653,Low
CUST00160,48,Self-Employed,125227.32,76527.66,120,543.0,0.5388,,0,0.6111,Low
CUST00161,64,Self-Employed,70904.44,37191.6,84,723.0,0.4089,21.0,0,0.5245,Low
CUST00162,64,Employed,78443.48,94098.97,36,732.0,0.0407,18.0,1,1.1996,Low
CUST00163,40,Retired,25907.42,26382.98,60,662.0,0.0291,23.0,1,1.0184,Low
CUST00164,50,Unemployed,22272.37,22821.07,24,556.0,0.1142,23.0,0,1.0246,Low
CUST00165,31,Employed,56950.46,32319.65,120,674.0,0.1879,16.0,0,0.5675,Low
CUST00166,48,Employed,40718.43,123532.36,48,701.0,0.2012,19.0,0,3.0338,Medium
CUST00167,45,Employed,71350.57,9862.42,12,647.0,0.3658,20.0,0,0.1382,Low
CUST00168,59,Self-Employed,77810.78,110788.7,24,,0.2564,18.0,0,1.4238,Low
CUST00169,53,Employed,80704.62,13193.6,120,663.0,0.2386,15.0,0,0.1635,Low
CUST00170,21,Self-Employed,117463.98,90819.3,60,674.0,0.323,22.0,0,0.7732,Low
CUST00171,47,Self-Employed,78176.18,117165.98,12,768.0,0.2845,22.0,1,1.4987,Low
CUST00172,33,Employed,65083.99,38505.57,120,610.0,0.3309,17.0,2,0.5916,Medium
CUST00173,61,Self-Employed,74910.38,33412.31,24,524.0,0.0588,19.0,0,0.446,Low
CUST00174,23,Retired,26144.7,46930.83,36,636.0,0.2515,17.0,0,1.795,Medium
CUST00175,59,Employed,46708.23,106443.92,60,604.0,0.0812,18.0,0,2.2789,Medium
CUST00176,26,Employed,55639.79,41949.86,12,536.0,0.5018,19.0,0,0.754,Low
CUST00177,28,Employed,75146.99,77756.65,84,699.0,0.1245,21.0,3,1.0347,Medium
CUST00178,47,Unemployed,14271.69,24497.58,36,650.0,0.2177,20.0,0,1.7165,Low
CUST00179,29,Retired,42771.28,71873.36,84,504.0,0.4353,18.0,0,1.6804,Medium
CUST00180,57,Employed,80278.97,95585.63,84,773.0,0.1964,,0,1.1907,Low
CUST00181,53,Self-Employed,23660.21,15413.74,12,591.0,0.0662,18.0,0,0.6515,Low
CUST00182,62,Employed,58699.54,123236.38,48,600.0,0.0652,21.0,1,2.0994,Medium
CUST00183,64,Employed,,140928.21,120,725.0,0.1363,19.0,4,1.4858,Medium
CUST00184,44,Employed,78196.57,33064.43,120,684.0,0.4075,22.0,0,0.4228,Low
CUST00185,35,Employed,73939.45,115117.75,48,737.0,0.579,20.0,0,1.5569,Low
CUST00186,52,Employed,84819.19,50452.67,60,475.0,,,0,0.5948,Low
CUST00187,52,Employed,101090.9,103125.07,12,627.0,0.237,19.0,1,1.0201,Low
CUST00188,44,Employed,65370.68,49468.22,120,660.0,0.4698,20.0,1,0.7567,Low
CUST00189,61,Unemployed,29525.9,130039.75,48,754.0,0.1867,20.0,0,4.4043,High
CUST00190,32,Employed,84770.77,55330.67,24,582.0,0.5781,20.0,0,0.6527,Low
CUST00191,59,Employed,61250.94,128080.45,24,,0.151,18.0,0,2.0911,Medium
CUST00192,22,Employed,46439.63,116090.67,48,661.0,0.1144,18.0,1,2.4998,Medium
CUST00193,23,Self-Employed,49165.06,33466.97,120,710.0,0.3168,19.0,1,0.6807,Low
CUST00194,57,Employed,71246.59,27758.2,84,561.0,0.0607,20.0,1,0.3896,Low
CUST00195,37,Employed,56008.08,118050.1,84,714.0,0.1991,19.0,0,2.1077,Low
CUST00196,22,Retired,35529.68,61593.97,48,602.0,0.3104,19.0,3,1.7336,Medium
CUST00197,22,Employed,44453.68,142662.01,60,680.0,0.3686,18.0,0,3.2092,Medium
CUST00198,48,Employed,93707.33,141727.5,84,634.0,0.1058,20.0,0,1.5124,Low
CUST00199,43,Unemployed,21801.53,105554.69,60,671.0,0.1268,18.0,2,4.8416,High
CUST00200,57,Employed,50769.78,77584.15,24,666.0,0.315,20.0,2,1.5282,Medium
CUST00201,52,Employed,52897.54,33270.26,36,752.0,0.1547,20.0,0,0.629,Low
CUST00202,53,Employed,81050.52,132946.95,12,631.0,0.3687,21.0,0,1.6403,Low
CUST00203,21,Employed,76463.97,16889.7,36,625.0,0.1191,17.0,0,0.2209,Low
CUST00204,39,Employed,54962.91,58700.94,60,735.0,0.4437,19.0,1,1.068,Low
CUST00205,22,Employed,65646.26,51286.83,84,762.0,0.2418,21.0,0,0.7813,Low
CUST00206,64,Employed,70534.09,143972.18,36,618.0,0.4494,17.0,0,2.0412,Medium
CUST00207,46,Employed,50918.39,22126.81,60,705.0,0.5306,18.0,5,0.4346,Medium
CUST00208,52,Self-Employed,84193.55,134071.75,120,581.0,0.5077,20.0,3,1.5924,High
CUST00209,26,Employed,75300.75,71183.02,36,705.0,0.6177,14.0,0,0.9453,Low
CUST00210,52,Employed,52025.32,11887.34,24,723.0,0.4239,20.0,0,0.2285,Low
CUST00211,24,Unemployed,31004.87,110685.62,60,627.0,0.1233,22.0,0,3.5699,Medium
CUST00212,31,Self-Employed,94226.78,19627.49,24,738.0,0.0914,18.0,1,0.2083,Low
CUST00213,37,Employed,66115.85,39365.59,36,628.0,,18.0,1,0.5954,Low
CUST00214,58,Retired,43129.81,120960.68,48,651.0,0.311,22.0,0,2.8046,Medium
CUST00215,44,Employed,52321.44,27436.14,48,681.0,0.3644,17.0,0,0.5244,Low
CUST00216,25,Employed,42231.65,52193.16,12,573.0,0.359,18.0,0,1.2359,Low
CUST00217,54,Self-Employed,79994.42,57344.75,120,541.0,0.2715,16.0,0,0.7169,Low
CUST00218,26,Employed,76376.3,90376.37,48,672.0,0.2684,21.0,3,1.1833,Medium
CUST00219,42,Employed,92956.51,119540.33,120,590.0,0.2913,19.0,0,1.286,Low
CUST00220,31,Employed,90021.99,38467.63,12,552.0,0.2211,21.0,1,0.4273,Low
CUST00221,36,Employed,67908.46,34838.52,36,711.0,0.355,20.0,2,0.513,Low
CUST00222,53,Employed,92945.88,37175.88,12,771.0,0.1643,20.0,1,0.4,Low
CUST00223,29,Unemployed,21398.64,60333.72,12,718.0,0.4064,20.0,0,2.8195,Medium
CUST00224,26,Employed,39179.07,82589.96,12,555.0,0.0317,22.0,0,2.108,Medium
CUST00225,36,Unemployed,15504.77,6949.52,120,664.0,0.1619,20.0,3,0.4482,Medium
CUST00226,49,Employed,75656.17,118143.15,24,625.0,0.4791,22.0,0,1.5616,Low
CUST00227,23,Unemployed,34873.06,139373.85,120,581.0,0.4219,19.0,5,3.9966,High
CUST00228,40,Self-Employed,63639.16,127310.34,120,656.0,0.0809,20.0,0,2.0005,Low
CUST00229,56,Self-Employed,36994.75,10391.75,12,644.0,0.2887,19.0,0,0.2809,Low
CUST00230,39,Employed,,81053.18,84,631.0,0.3767,20.0,2,1.4877,Medium
CUST00231,46,Employed,85427.66,123033.93,60,729.0,0.3815,21.0,2,1.4402,Medium
CUST00232,23,Employed,92234.14,54896.6,36,753.0,0.5574,22.0,0,0.5952,Low
CUST00233,39,Unemployed,25203.52,135070.42,24,624.0,,18.0,0,5.0,High
CUST00234,40,Unemployed,25807.91,133597.55,60,635.0,0.1176,19.0,3,5.0,High
CUST00235,52,Employed,82484.74,25547.16,36,630.0,0.1048,23.0,0,0.3097,Low
CUST00236,27,Employed,49005.02,76576.46,120,691.0,0.0703,14.0,0,1.5626,Low
CUST00237,61,Employed,60081.87,8721.78,24,676.0,0.2282,19.0,0,0.1452,Low
CUST00238,53,Self-Employed,37704.34,45869.64,120,593.0,0.076,21.0,1,1.2166,Low
CUST00239,60,Employed,33788.77,122721.56,36,639.0,0.1278,17.0,3,3.632,High
CUST00240,59,Self-Employed,82711.71,146395.39,48,530.0,0.3017,17.0,0,1.7699,Medium
CUST00241,38,Retired,28244.48,137431.87,36,524.0,0.2592,19.0,0,4.8658,High
CUST00242,60,Employed,75182.82,11174.15,48,555.0,0.0827,17.0,0,0.1486,Low
CUST00243,21,Employed,67633.91,139375.93,120,629.0,0.1112,23.0,1,2.0607,Medium
CUST00244,31,Employed,104402.76,124283.99,48,698.0,0.2676,16.0,1,1.1904,Low
CUST00245,48,Employed,107358.47,130816.86,84,587.0,0.1078,22.0,0,1.2185,Low
CUST00246,45,Employed,52695.4,137649.88,36,639.0,0.3589,,0,2.6122,Medium
CUST00247,43,Employed,77244.1,75786.09,120,667.0,0.4761,20.0,0,0.9811,Low
CUST00248,51,Unemployed,29136.85,35626.65,120,772.0,0.3144,22.0,0,1.2227,Low
CUST00249,50,Employed,49299.11,8048.49,48,654.0,0.7002,16.0,0,0.1633,Low
CUST00250,62,Employed,69862.79,8414.5,84,658.0,0.3226,21.0,4,0.1204,Medium
CUST00251,55,Unemployed,24753.0,98164.16,24,601.0,0.5381,17.0,0,3.9657,High
CUST00252,27,Self-Employed,129819.44,53905.61,48,796.0,0.2101,20.0,2,0.4152,Low
CUST00253,36,Employed,81571.1,76905.01,12,711.0,0.5792,18.0,0,0.9428,Low
CUST00254,46,Employed,43231.36,24043.6,24,561.0,0.049,21.0,4,0.5562,Medium
CUST00255,22,Employed,68846.63,146449.44,120,769.0,0.1306,19.0,0,2.1272,Low
CUST00256,21,Self-Employed,55030.42,23841.73,84,707.0,0.1137,18.0,0,0.4332,Low
CUST00257,32,Self-Employed,72355.66,69496.92,24,668.0,0.1876,19.0,0,0.9605,Low
CUST00258,25,Self-Employed,39759.45,69286.26,24,702.0,0.0405,20.0,1,1.7426,Medium
CUST00259,57,Employed,105766.58,6252.59,120,740.0,0.2846,21.0,0,0.0591,Low
CUST00260,52,Unemployed,26407.65,101830.71,12,589.0,0.3526,21.0,2,3.8561,High
CUST00261,29,Employed,76533.8,83040.53,12,618.0,0.1898,17.0,1,1.085,Low
CUST00262,61,Employed,91705.73,77136.95,12,646.0,0.105,19.0,0,0.8411,Low
CUST00263,55,Employed,33141.1,123622.3,12,550.0,0.1954,19.0,0,3.7302,Medium
CUST00264,39,Employed,80147.4,39964.89,84,708.0,0.5383,21.0,0,0.4986,Low
CUST00265,36,Employed,85475.32,129859.04,12,627.0,0.2532,20.0,0,1.5193,Low
CUST00266,23,Unemployed,42131.37,130392.91,84,619.0,0.8292,19.0,0,3.0949,High
CUST00267,40,Retired,58320.69,124895.04,84,598.0,0.3802,22.0,0,2.1415,Medium
CUST00268,44,Employed,44991.74,54502.68,60,647.0,0.0836,20.0,3,1.2114,Medium
CUST00269,53,Employed,,28570.83,120,662.0,0.0383,21.0,2,0.3078,Low
CUST00270,44,Employed,65690.07,73900.68,60,729.0,0.5151,19.0,1,1.125,Low
CUST00271,31,Employed,46922.39,42676.95,12,731.0,0.0676,19.0,0,0.9095,Low
CUST00272,28,Employed,58639.48,12566.32,84,559.0,0.3478,20.0,0,0.2143,Low
CUST00273,56,Retired,36405.78,45523.15,24,686.0,0.6265,22.0,0,1.2504,Low
CUST00274,58,Employed,33776.3,73023.61,48,748.0,0.2636,21.0,1,2.162,Medium
CUST00275,60,Employed,65358.61,21346.65,48,632.0,0.4563,21.0,0,0.3266,Low
CUST00276,40,Employed,56662.46,141928.39,60,636.0,0.0713,19.0,0,2.5048,Medium
CUST00277,55,Unemployed,21272.2,100134.67,12,,0.2594,21.0,2,4.7073,High
CUST00278,45,Self-Employed,62077.8,24769.41,36,693.0,0.2604,19.0,0,0.399,Low
CUST00279,55,Retired,36063.56,122749.31,48,672.0,0.1224,19.0,0,3.4037,Medium
CUST00280,45,Self-Employed,88044.1,139572.8,120,728.0,0.5197,17.0,0,1.5853,Low
CUST00281,49,Employed,28258.23,43103.69,120,641.0,0.2799,21.0,1,1.5253,Medium
CUST00282,38,Employed,30656.35,25771.65,84,750.0,0.0997,21.0,3,0.8407,Medium
CUST00283,38,Self-Employed,73092.29,51758.95,120,697.0,0.2896,21.0,2,0.7081,Low
CUST00284,22,Employed,46912.56,125676.08,84,744.0,0.2731,20.0,2,2.6789,Medium
CUST00285,55,Employed,126896.58,30388.61,48,602.0,0.2025,19.0,4,0.2395,Medium
CUST00286,36,Employed,28883.2,118005.26,24,775.0,0.1117,18.0,0,4.0856,Medium
CUST00287,61,Employed,68400.95,108858.17,48,605.0,0.125,21.0,0,1.5915,Low
CUST00288,56,Employed,64532.13,99448.17,60,609.0,0.3731,21.0,0,1.5411,Low
CUST00289,53,Employed,60836.08,67831.04,120,618.0,0.3216,20.0,0,1.115,Low
CUST00290,24,Self-Employed,95669.98,58181.69,12,609.0,0.0433,21.0,0,0.6081,Low
CUST00291,53,Employed,75412.93,17362.41,12,801.0,0.3849,17.0,0,0.2302,Low
CUST00292,34,Employed,61646.82,56816.59,84,691.0,0.3006,22.0,0,0.9216,Low
