customer_id,age,employment_status,income,loan_amount,loan_tenure,credit_score,credit_utilization,repayment_history,num_defaults,debt_to_income_ratio,risk_label,monthly_emi,emi_to_income_ratio,risk_score_numeric
CUST00088,45,Employed,68368.19,99270.07,12,748,0.4046,18,0,1.452,Low,8272.51,1.452,0
CUST00089,27,Employed,37470.74,113771.47,12,542,0.293,19,0,3.0363,Medium,9480.96,3.0363,1
CUST00090,29,Employed,42601.7,140912.64,60,680,0.1742,20,1,3.3077,Medium,2348.54,0.6615,1
CUST00091,44,Employed,65006.09,107117.93,84,732,0.3841,20,0,1.6478,Low,1275.21,0.2354,0
CUST00092,21,Unemployed,16560.92,83861.49,120,651,0.1162,21,0,5.0,High,698.85,0.5064,2
CUST00093,64,Employed,40430.4,59082.11,120,680,0.518,22,0,1.4613,Low,492.35,0.1461,0
CUST00094,28,Self-Employed,125911.64,134265.13,120,694,0.3686,15,5,1.0663,High,1118.88,0.1066,2
CUST00095,44,Employed,64115.52,119915.35,36,583,0.6079,18,2,1.8703,Medium,3330.98,0.6234,1
CUST00096,31,Employed,96913.87,16191.28,12,687,0.2427,16,0,0.1671,Low,1349.27,0.1671,0
CUST00097,37,Retired,39937.5,106433.47,84,571,0.2312,20,0,2.665,Medium,1267.07,0.3807,1
CUST00098,28,Employed,56645.44,83118.69,120,641,0.3184,17,0,1.4674,Low,692.66,0.1467,0
CUST00099,55,Employed,96852.33,20028.37,120,603,0.5336,21,0,0.2068,Low,166.9,0.0207,0
CUST00100,55,Self-Employed,109094.86,86919.33,24,720,0.3256,19,1,0.7967,Low,3621.64,0.3984,0
CUST00101,53,Employed,46560.91,32913.36,120,703,0.3191,21,1,0.7069,Low,274.28,0.0707,0
CUST00102,25,Employed,50705.36,107681.01,24,695,0.1665,18,0,2.1237,Low,4486.71,1.0618,0
CUST00103,62,Employed,40716.82,45376.89,36,672,0.3021,19,1,1.1145,Low,1260.47,0.3715,0
CUST00104,59,Employed,66545.45,26799.87,24,684,0.3511,19,2,0.4027,Low,1116.66,0.2014,0
CUST00105,61,Employed,85623.2,16886.07,120,810,0.4298,17,0,0.1972,Low,140.72,0.0197,0
CUST00106,48,Employed,97618.03,76165.92,48,755,0.3495,18,1,0.7802,Low,1586.79,0.1951,0
CUST00107,27,Unemployed,10000.0,33947.04,60,573,0.3802,15,2,3.3947,High,565.78,0.6789,2
CUST00108,29,Self-Employed,104170.23,128993.54,120,607,0.4362,20,0,1.2383,Low,1074.95,0.1238,0
CUST00110,32,Self-Employed,72587.3,127327.62,84,630,0.3785,19,0,1.7541,Low,1515.8,0.2506,0
CUST00111,54,Unemployed,29783.44,80558.4,60,583,0.2599,20,1,2.7048,Medium,1342.64,0.541,1
CUST00112,53,Employed,26581.36,138711.1,36,696,0.2187,20,0,5.0,High,3853.09,1.7395,2
CUST00113,43,Unemployed,34381.21,34668.63,60,645,0.2601,20,2,1.0084,Medium,577.81,0.2017,1
CUST00114,44,Self-Employed,120177.9,19829.7,12,667,0.4901,17,0,0.165,Low,1652.48,0.165,0
CUST00115,57,Self-Employed,38188.91,95618.94,120,513,0.2749,19,0,2.5038,Medium,796.82,0.2504,1
CUST00116,55,Employed,73359.69,107475.48,84,524,0.3007,19,3,1.465,High,1279.47,0.2093,2
CUST00117,64,Employed,28667.29,59024.83,12,648,0.1028,21,3,2.059,High,4918.74,2.059,2
CUST00118,60,Employed,38584.12,6983.63,36,698,0.1963,21,0,0.181,Low,193.99,0.0603,0
CUST00119,42,Self-Employed,48376.03,64009.56,12,688,0.3499,20,0,1.3232,Low,5334.13,1.3232,0
CUST00120,47,Employed,67441.18,38899.1,24,730,0.1058,19,0,0.5768,Low,1620.8,0.2884,0
CUST00121,55,Self-Employed,97920.89,55383.1,84,593,0.2872,22,0,0.5656,Low,659.32,0.0808,0
CUST00122,21,Employed,67519.92,78479.4,84,704,0.3819,17,1,1.1623,Low,934.28,0.166,0
CUST00123,55,Employed,78389.53,106839.57,60,772,0.381,17,0,1.3629,Low,1780.66,0.2726,0
CUST00124,57,Employed,87495.36,144667.67,48,724,0.1766,18,0,1.6534,Low,3013.91,0.4134,0
CUST00125,34,Employed,42751.3,25879.98,48,546,0.5288,20,1,0.6054,Low,539.17,0.1513,0
CUST00126,23,Employed,44503.24,103585.42,48,738,0.2431,20,1,2.3276,Medium,2158.03,0.5819,1
CUST00127,21,Employed,77166.87,38815.66,36,676,0.0628,18,3,0.503,Medium,1078.21,0.1677,1
CUST00128,25,Retired,37009.72,37002.18,48,686,0.239,20,0,0.9998,Low,770.88,0.2499,0
CUST00129,46,Employed,38120.62,96865.34,84,849,0.5094,19,3,2.541,High,1153.16,0.363,2
CUST00130,34,Employed,45253.79,117519.93,120,669,0.2334,17,1,2.5969,Medium,979.33,0.2597,1
CUST00131,59,Self-Employed,73538.27,146779.12,84,700,0.1214,20,0,1.996,Low,1747.37,0.2851,0
CUST00132,47,Unemployed,14389.41,116480.47,60,657,0.3286,19,1,5.0,High,1941.34,1.619,2
CUST00133,29,Self-Employed,57817.59,27810.67,12,630,0.1474,16,1,0.481,Low,2317.56,0.481,0
CUST00134,35,Employed,37813.52,37683.39,24,679,0.2601,20,0,0.9966,Low,1570.14,0.4983,0
CUST00135,35,Unemployed,20632.36,115401.51,120,615,0.5741,18,0,5.0,High,961.68,0.5593,2
CUST00136,46,Self-Employed,36101.74,81413.25,48,661,0.5492,18,1,2.2551,Medium,1696.11,0.5638,1
CUST00137,62,Employed,41673.65,47834.16,48,625,0.0149,16,0,1.1478,Low,996.54,0.287,0
CUST00138,33,Employed,64780.08,73408.57,120,483,0.0139,17,0,1.1332,Low,611.74,0.1133,0
CUST00139,52,Employed,62740.13,137658.76,48,610,0.4172,18,5,2.1941,High,2867.89,0.5485,2
CUST00140,59,Employed,81033.86,114561.91,24,726,0.3469,19,0,1.4138,Low,4773.41,0.7069,0
CUST00141,52,Unemployed,16524.63,70351.17,60,691,0.5473,21,1,4.2574,High,1172.52,0.8515,2
CUST00142,24,Employed,69703.41,147180.32,120,631,0.0248,18,3,2.1115,High,1226.5,0.2112,2
CUST00143,50,Unemployed,21622.34,120256.82,120,657,0.1136,20,0,5.0,High,1002.14,0.5562,2
CUST00145,43,Employed,74273.56,21293.25,12,594,0.1485,18,0,0.2867,Low,1774.44,0.2867,0
CUST00146,59,Employed,75960.42,85325.47,36,650,0.3568,18,0,1.1233,Low,2370.15,0.3744,0
CUST00147,35,Employed,76096.68,55743.36,24,632,0.2601,20,0,0.7325,Low,2322.64,0.3663,0
CUST00148,63,Self-Employed,72677.33,122821.02,60,589,0.233,21,1,1.6899,Medium,2047.02,0.338,1
CUST00149,49,Self-Employed,89606.62,134874.62,84,644,0.4996,19,2,1.5052,Medium,1605.65,0.215,1
CUST00150,56,Employed,74914.51,39894.37,12,560,0.1398,20,0,0.5325,Low,3324.53,0.5325,0
CUST00151,33,Employed,102374.9,115676.44,24,775,0.2185,21,0,1.1299,Low,4819.85,0.565,0
CUST00152,52,Employed,55657.35,82632.62,84,721,0.3491,20,1,1.4847,Low,983.72,0.2121,0
CUST00153,27,Self-Employed,100097.74,61835.22,24,476,0.3353,18,1,0.6177,Medium,2576.47,0.3089,1
CUST00154,42,Employed,82529.46,119083.11,36,717,0.2733,19,0,1.4429,Low,3307.86,0.481,0
CUST00155,48,Employed,59673.53,86913.95,36,648,0.1561,20,0,1.4565,Low,2414.28,0.4855,0
CUST00156,22,Self-Employed,105816.73,97116.19,84,606,0.1514,17,1,0.9178,Low,1156.15,0.1311,0
CUST00157,62,Retired,54309.68,14026.84,84,710,0.0372,18,0,0.2583,Low,166.99,0.0369,0
CUST00158,26,Employed,81403.3,89952.55,60,648,0.0463,19,0,1.105,Low,1499.21,0.221,0
CUST00159,48,Employed,73052.69,48603.13,48,619,0.1429,20,0,0.6653,Low,1012.57,0.1663,0
CUST00160,48,Self-Employed,125227.32,76527.66,120,543,0.5388,19,0,0.6111,Low,637.73,0.0611,0
CUST00161,64,Self-Employed,70904.44,37191.6,84,723,0.4089,21,0,0.5245,Low,442.76,0.0749,0
CUST00162,64,Employed,78443.48,94098.97,36,732,0.0407,18,1,1.1996,Low,2613.86,0.3999,0
CUST00163,40,Retired,25907.42,26382.98,60,662,0.0291,23,1,1.0184,Low,439.72,0.2037,0
CUST00164,50,Unemployed,22272.37,22821.07,24,556,0.1142,23,0,1.0246,Low,950.88,0.5123,0
CUST00165,31,Employed,56950.46,32319.65,120,674,0.1879,16,0,0.5675,Low,269.33,0.0568,0
CUST00166,48,Employed,40718.43,123532.36,48,701,0.2012,19,0,3.0338,Medium,2573.59,0.7585,1
CUST00167,45,Employed,71350.57,9862.42,12,647,0.3658,20,0,0.1382,Low,821.87,0.1382,0
CUST00168,59,Self-Employed,77810.78,110788.7,24,648,0.2564,18,0,1.4238,Low,4616.2,0.7119,0
CUST00169,53,Employed,80704.62,13193.6,120,663,0.2386,15,0,0.1635,Low,109.95,0.0163,0
CUST00170,21,Self-Employed,117463.98,90819.3,60,674,0.323,22,0,0.7732,Low,1513.66,0.1546,0
CUST00171,47,Self-Employed,78176.18,117165.98,12,768,0.2845,22,1,1.4987,Low,9763.83,1.4987,0
CUST00172,33,Employed,65083.99,38505.57,120,610,0.3309,17,2,0.5916,Medium,320.88,0.0592,1
CUST00173,61,Self-Employed,74910.38,33412.31,24,524,0.0588,19,0,0.446,Low,1392.18,0.223,0
CUST00174,23,Retired,26144.7,46930.83,36,636,0.2515,17,0,1.795,Medium,1303.63,0.5983,1
CUST00175,59,Employed,46708.23,106443.92,60,604,0.0812,18,0,2.2789,Medium,1774.07,0.4558,1
CUST00176,26,Employed,55639.79,41949.86,12,536,0.5018,19,0,0.754,Low,3495.82,0.754,0
CUST00177,28,Employed,75146.99,77756.65,84,699,0.1245,21,3,1.0347,Medium,925.67,0.1478,1
CUST00178,47,Unemployed,14271.69,24497.58,36,650,0.2177,20,0,1.7165,Low,680.49,0.5722,0
CUST00179,29,Retired,42771.28,71873.36,84,504,0.4353,18,0,1.6804,Medium,855.64,0.2401,1
CUST00180,57,Employed,80278.97,95585.63,84,773,0.1964,19,0,1.1907,Low,1137.92,0.1701,0
CUST00181,53,Self-Employed,23660.21,15413.74,12,591,0.0662,18,0,0.6515,Low,1284.48,0.6515,0
CUST00182,62,Employed,58699.54,123236.38,48,600,0.0652,21,1,2.0994,Medium,2567.42,0.5249,1
CUST00183,64,Employed,59158.41,140928.21,120,725,0.1363,19,4,1.4858,Medium,1174.4,0.2382,1
CUST00184,44,Employed,78196.57,33064.43,120,684,0.4075,22,0,0.4228,Low,275.54,0.0423,0
CUST00185,35,Employed,73939.45,115117.75,48,737,0.579,20,0,1.5569,Low,2398.29,0.3892,0
CUST00186,52,Employed,84819.19,50452.67,60,475,0.2601,19,0,0.5948,Low,840.88,0.119,0
CUST00187,52,Employed,101090.9,103125.07,12,627,0.237,19,1,1.0201,Low,8593.76,1.0201,0
CUST00188,44,Employed,65370.68,49468.22,120,660,0.4698,20,1,0.7567,Low,412.24,0.0757,0
CUST00189,61,Unemployed,29525.9,130039.75,48,754,0.1867,20,0,4.4043,High,2709.16,1.1011,2
CUST00190,32,Employed,84770.77,55330.67,24,582,0.5781,20,0,0.6527,Low,2305.44,0.3264,0
CUST00191,59,Employed,61250.94,128080.45,24,648,0.151,18,0,2.0911,Medium,5336.69,1.0455,1
CUST00192,22,Employed,46439.63,116090.67,48,661,0.1144,18,1,2.4998,Medium,2418.56,0.625,1
CUST00193,23,Self-Employed,49165.06,33466.97,120,710,0.3168,19,1,0.6807,Low,278.89,0.0681,0
CUST00194,57,Employed,71246.59,27758.2,84,561,0.0607,20,1,0.3896,Low,330.45,0.0557,0
CUST00195,37,Employed,56008.08,118050.1,84,714,0.1991,19,0,2.1077,Low,1405.36,0.3011,0
CUST00196,22,Retired,35529.68,61593.97,48,602,0.3104,19,3,1.7336,Medium,1283.21,0.4334,1
CUST00197,22,Employed,44453.68,142662.01,60,680,0.3686,18,0,3.2092,Medium,2377.7,0.6418,1
CUST00198,48,Employed,93707.33,141727.5,84,634,0.1058,20,0,1.5124,Low,1687.23,0.2161,0
CUST00199,43,Unemployed,21801.53,105554.69,60,671,0.1268,18,2,4.8416,High,1759.24,0.9683,2
CUST00200,57,Employed,50769.78,77584.15,24,666,0.315,20,2,1.5282,Medium,3232.67,0.7641,1
CUST00201,52,Employed,52897.54,33270.26,36,752,0.1547,20,0,0.629,Low,924.17,0.2097,0
CUST00202,53,Employed,81050.52,132946.95,12,631,0.3687,21,0,1.6403,Low,11078.91,1.6403,0
CUST00203,21,Employed,76463.97,16889.7,36,625,0.1191,17,0,0.2209,Low,469.16,0.0736,0
CUST00204,39,Employed,54962.91,58700.94,60,735,0.4437,19,1,1.068,Low,978.35,0.2136,0
CUST00205,22,Employed,65646.26,51286.83,84,762,0.2418,21,0,0.7813,Low,610.56,0.1116,0
CUST00206,64,Employed,70534.09,143972.18,36,618,0.4494,17,0,2.0412,Medium,3999.23,0.6804,1
CUST00207,46,Employed,50918.39,22126.81,60,705,0.5306,18,5,0.4346,Medium,368.78,0.0869,1
CUST00208,52,Self-Employed,84193.55,134071.75,120,581,0.5077,20,3,1.5924,High,1117.26,0.1592,2
CUST00209,26,Employed,75300.75,71183.02,36,705,0.6177,14,0,0.9453,Low,1977.31,0.3151,0
CUST00210,52,Employed,52025.32,11887.34,24,723,0.4239,20,0,0.2285,Low,495.31,0.1142,0
CUST00211,24,Unemployed,31004.87,110685.62,60,627,0.1233,22,0,3.5699,Medium,1844.76,0.714,1
CUST00212,31,Self-Employed,94226.78,19627.49,24,738,0.0914,18,1,0.2083,Low,817.81,0.1042,0
CUST00213,37,Employed,66115.85,39365.59,36,628,0.2601,18,1,0.5954,Low,1093.49,0.1985,0
CUST00214,58,Retired,43129.81,120960.68,48,651,0.311,22,0,2.8046,Medium,2520.01,0.7011,1
CUST00215,44,Employed,52321.44,27436.14,48,681,0.3644,17,0,0.5244,Low,571.59,0.1311,0
CUST00216,25,Employed,42231.65,52193.16,12,573,0.359,18,0,1.2359,Low,4349.43,1.2359,0
CUST00217,54,Self-Employed,79994.42,57344.75,120,541,0.2715,16,0,0.7169,Low,477.87,0.0717,0
CUST00218,26,Employed,76376.3,90376.37,48,672,0.2684,21,3,1.1833,Medium,1882.84,0.2958,1
CUST00219,42,Employed,92956.51,119540.33,120,590,0.2913,19,0,1.286,Low,996.17,0.1286,0
CUST00220,31,Employed,90021.99,38467.63,12,552,0.2211,21,1,0.4273,Low,3205.64,0.4273,0
CUST00221,36,Employed,67908.46,34838.52,36,711,0.355,20,2,0.513,Low,967.74,0.171,0
CUST00222,53,Employed,92945.88,37175.88,12,771,0.1643,20,1,0.4,Low,3097.99,0.4,0
CUST00223,29,Unemployed,21398.64,60333.72,12,718,0.4064,20,0,2.8195,Medium,5027.81,2.8195,1
CUST00224,26,Employed,39179.07,82589.96,12,555,0.0317,22,0,2.108,Medium,6882.5,2.108,1
CUST00225,36,Unemployed,15504.77,6949.52,120,664,0.1619,20,3,0.4482,Medium,57.91,0.0448,1
CUST00226,49,Employed,75656.17,118143.15,24,625,0.4791,22,0,1.5616,Low,4922.63,0.7808,0
CUST00227,23,Unemployed,34873.06,139373.85,120,581,0.4219,19,5,3.9966,High,1161.45,0.3997,2
CUST00228,40,Self-Employed,63639.16,127310.34,120,656,0.0809,20,0,2.0005,Low,1060.92,0.2001,0
CUST00229,56,Self-Employed,36994.75,10391.75,12,644,0.2887,19,0,0.2809,Low,865.98,0.2809,0
CUST00230,39,Employed,59158.41,81053.18,84,631,0.3767,20,2,1.4877,Medium,964.92,0.1957,1
CUST00231,46,Employed,85427.66,123033.93,60,729,0.3815,21,2,1.4402,Medium,2050.57,0.288,1
CUST00232,23,Employed,92234.14,54896.6,36,753,0.5574,22,0,0.5952,Low,1524.91,0.1984,0
CUST00233,39,Unemployed,25203.52,135070.42,24,624,0.2601,18,0,5.0,High,5627.93,2.6796,2
CUST00234,40,Unemployed,25807.91,133597.55,60,635,0.1176,19,3,5.0,High,2226.63,1.0353,2
CUST00235,52,Employed,82484.74,25547.16,36,630,0.1048,23,0,0.3097,Low,709.64,0.1032,0
CUST00236,27,Employed,49005.02,76576.46,120,691,0.0703,14,0,1.5626,Low,638.14,0.1563,0
CUST00237,61,Employed,60081.87,8721.78,24,676,0.2282,19,0,0.1452,Low,363.41,0.0726,0
CUST00238,53,Self-Employed,37704.34,45869.64,120,593,0.076,21,1,1.2166,Low,382.25,0.1217,0
CUST00239,60,Employed,33788.77,122721.56,36,639,0.1278,17,3,3.632,High,3408.93,1.2107,2
CUST00240,59,Self-Employed,82711.71,146395.39,48,530,0.3017,17,0,1.7699,Medium,3049.9,0.4425,1
CUST00241,38,Retired,28244.48,137431.87,36,524,0.2592,19,0,4.8658,High,3817.55,1.6219,2
CUST00242,60,Employed,75182.82,11174.15,48,555,0.0827,17,0,0.1486,Low,232.79,0.0372,0
CUST00243,21,Employed,67633.91,139375.93,120,629,0.1112,23,1,2.0607,Medium,1161.47,0.2061,1
CUST00244,31,Employed,104402.76,124283.99,48,698,0.2676,16,1,1.1904,Low,2589.25,0.2976,0
CUST00245,48,Employed,107358.47,130816.86,84,587,0.1078,22,0,1.2185,Low,1557.34,0.1741,0
CUST00246,45,Employed,52695.4,137649.88,36,639,0.3589,19,0,2.6122,Medium,3823.61,0.8707,1
CUST00247,43,Employed,77244.1,75786.09,120,667,0.4761,20,0,0.9811,Low,631.55,0.0981,0
CUST00248,51,Unemployed,29136.85,35626.65,120,772,0.3144,22,0,1.2227,Low,296.89,0.1223,0
CUST00249,50,Employed,49299.11,8048.49,48,654,0.7002,16,0,0.1633,Low,167.68,0.0408,0
CUST00250,62,Employed,69862.79,8414.5,84,658,0.3226,21,4,0.1204,Medium,100.17,0.0172,1
CUST00251,55,Unemployed,24753.0,98164.16,24,601,0.5381,17,0,3.9657,High,4090.17,1.9829,2
CUST00253,36,Employed,81571.1,76905.01,12,711,0.5792,18,0,0.9428,Low,6408.75,0.9428,0
CUST00254,46,Employed,43231.36,24043.6,24,561,0.049,21,4,0.5562,Medium,1001.82,0.2781,1
CUST00255,22,Employed,68846.63,146449.44,120,769,0.1306,19,0,2.1272,Low,1220.41,0.2127,0
CUST00256,21,Self-Employed,55030.42,23841.73,84,707,0.1137,18,0,0.4332,Low,283.83,0.0619,0
CUST00257,32,Self-Employed,72355.66,69496.92,24,668,0.1876,19,0,0.9605,Low,2895.7,0.4802,0
CUST00258,25,Self-Employed,39759.45,69286.26,24,702,0.0405,20,1,1.7426,Medium,2886.93,0.8713,1
